Date,Market_Return,Market_Volatility,Avg_Correlation,State,State_Name,Regime
2020-05-04,0.019889350167592572,0.04315934706839253,0.5421815712452507,1,State_1,Volatile
2020-05-05,0.01727866508506141,0.042212568383247606,0.5428499155058494,0,State_0,Normal
2020-05-06,0.0020920785943217297,0.03996232017542894,0.5419267760540877,1,State_1,Volatile
2020-05-07,0.004714423658191146,0.039289487916713974,0.5401547748850414,0,State_0,Normal
2020-05-08,0.009212543382665776,0.0373584382938126,0.5408105134917218,1,State_1,Volatile
2020-05-11,0.04200388278931596,0.03762736761236017,0.5430108931202404,0,State_0,Normal
2020-05-12,-0.00311293182018292,0.03838429410742073,0.5409814497545322,1,State_1,Volatile
2020-05-13,-0.009853526142965524,0.03851166424518637,0.5406500303779094,0,State_0,Normal
2020-05-14,0.0023932049060579204,0.037169692278002694,0.5396294203698822,1,State_1,Volatile
2020-05-15,0.02566904581827289,0.03697958053454672,0.5396427536682152,0,State_0,Normal
2020-05-18,0.032313128141101995,0.037618566301221464,0.5378465600335169,1,State_1,Volatile
2020-05-19,-0.017094432950849597,0.03656868122307118,0.538748288508822,0,State_0,Normal
2020-05-20,0.012666117107944293,0.03608450402897249,0.5374174824150677,1,State_1,Volatile
2020-05-21,-0.01155359950575536,0.035433566752734354,0.5388578525224126,0,State_0,Normal
2020-05-22,0.0076846296793936135,0.03529166365640857,0.5373206123774259,1,State_1,Volatile
2020-05-26,-0.015032587477818207,0.0357604768519911,0.5403353634628226,0,State_0,Normal
2020-05-27,-0.009648599852577188,0.0355723651267833,0.5379494799339213,1,State_1,Volatile
2020-05-28,0.006987581870709801,0.03549269828604134,0.5337784899258219,0,State_0,Normal
2020-05-29,0.019705511912399904,0.03528110215060414,0.5289411487630632,1,State_1,Volatile
2020-06-01,-3.280714483348512e-05,0.03469596857633632,0.5275019240362192,0,State_0,Normal
2020-06-02,0.0042489176089328595,0.03427895931899067,0.5280306032616755,1,State_1,Volatile
2020-06-03,-0.010782738713250896,0.03356751988840293,0.5088649228862888,0,State_0,Normal
2020-06-04,-0.015886663288140337,0.03300506895819777,0.5083366861705474,1,State_1,Volatile
2020-06-05,0.011100639898194126,0.03306418472638707,0.5016016251780325,0,State_0,Normal
2020-06-08,0.010474653046229118,0.032651797741962175,0.4789121533632344,1,State_1,Volatile
2020-06-09,-0.002697297917042302,0.03207919600973478,0.477014865986066,0,State_0,Normal
2020-06-10,0.0006391457450640256,0.03114845217219628,0.42443662619346945,1,State_1,Volatile
2020-06-11,-0.04481017090929976,0.03303806004073691,0.4209020401955301,0,State_0,Normal
2020-06-12,0.008784472626803505,0.03281571129416971,0.4296659695103775,1,State_1,Volatile
2020-06-15,0.020958533736424523,0.032507184790626815,0.45458345699277086,0,State_0,Normal
2020-06-16,0.020143372197842745,0.03285427750618418,0.4544562441173259,1,State_1,Volatile
2020-06-17,0.005418144641493527,0.03251076823240373,0.4616568053263242,0,State_0,Normal
2020-06-18,0.002374467522570683,0.0323026056596928,0.4409960712124084,1,State_1,Volatile
2020-06-19,0.02183571777310306,0.032486651280761544,0.4510383841712526,0,State_0,Normal
2020-06-22,0.004970423149657125,0.03258574497969894,0.4276281393102331,1,State_1,Volatile
2020-06-23,0.005519874355283873,0.03160152453738041,0.4221967359540089,0,State_0,Normal
2020-06-24,-0.019116084989249365,0.030228438947439935,0.4141170752889046,1,State_1,Volatile
2020-06-25,0.016954502672167623,0.030141511876743767,0.41528090424301534,0,State_0,Normal
2020-06-26,-0.016804876416145382,0.030301565078870392,0.4047507973483776,1,State_1,Volatile
2020-06-29,0.010660533928409228,0.029654024613464215,0.4005978352471402,0,State_0,Normal
2020-06-30,0.019495724576181966,0.028250103092794552,0.40221369587778666,1,State_1,Volatile
2020-07-01,0.0069861673026108614,0.028069043361409918,0.3813254947570959,0,State_0,Normal
2020-07-02,0.0057616295588717465,0.02795513327291233,0.3788229000243161,1,State_1,Volatile
2020-07-06,0.012833243712623274,0.027869333620200443,0.3700064622313235,0,State_0,Normal
2020-07-07,0.009629282240075417,0.02859731935481607,0.36795879648991403,1,State_1,Volatile
2020-07-08,0.005086888781607194,0.028005326008743038,0.36935310047250264,0,State_0,Normal
2020-07-09,-0.0013297290362078251,0.02727702927287111,0.3608601716472302,1,State_1,Volatile
2020-07-10,-0.006802716444873313,0.02717538601873829,0.36202699165217017,0,State_0,Normal
2020-07-13,-0.0021561056698776782,0.027447662444952857,0.3512455101964053,1,State_1,Volatile
2020-07-14,0.021312102222074115,0.027791799111293314,0.34573767947164796,0,State_0,Normal
2020-07-15,0.017085512869210635,0.028027969876273682,0.3499135942342481,1,State_1,Volatile
2020-07-16,-0.005511199337959339,0.027777249842983326,0.3336714116538477,0,State_0,Normal
2020-07-17,0.02720288120737388,0.027900785651356248,0.33810612640964377,1,State_1,Volatile
2020-07-20,0.008760669928709773,0.028000871648513195,0.3380152261641521,0,State_0,Normal
2020-07-21,-0.015446351199842478,0.028429796278471562,0.33298872840873356,1,State_1,Volatile
2020-07-22,0.006876019353674087,0.028369202285856474,0.33150567935931957,0,State_0,Normal
2020-07-23,-0.018328577038122823,0.02883119545225739,0.3217638369533495,1,State_1,Volatile
2020-07-24,-0.01511609550872267,0.026375343335185424,0.3292922223348471,0,State_0,Normal
2020-07-27,0.019005261898003133,0.026485642337072707,0.3304106802231001,1,State_1,Volatile
2020-07-28,-0.008525096744057895,0.026350464107332102,0.32146049100495133,0,State_0,Normal
2020-07-29,0.001010559831201718,0.025720833128790595,0.32062669318008263,1,State_1,Volatile
2020-07-30,0.002528494792059231,0.025916339560990098,0.3167178074916891,0,State_0,Normal
2020-07-31,0.001423862258132117,0.027571187477776836,0.32128948888868264,1,State_1,Volatile
2020-08-03,0.028472609936410792,0.027470110657003784,0.33198439563487014,0,State_0,Normal
2020-08-04,-0.003957635357412508,0.027318979476493775,0.33326820679107083,1,State_1,Volatile
2020-08-05,0.008697602888761827,0.027545180214484384,0.3181216820349736,0,State_0,Normal
2020-08-06,-0.008466569996249422,0.026957559574538683,0.3213110056660162,1,State_1,Volatile
2020-08-07,-0.0018538189351233348,0.027241798651393073,0.31336678642540633,0,State_0,Normal
2020-08-10,-0.00962278179969458,0.02707469587170464,0.31732204192357777,1,State_1,Volatile
2020-08-11,-0.024606013030439126,0.027517033194823952,0.32244251058945184,0,State_0,Normal
2020-08-12,0.011713086659858403,0.027590340624270376,0.3247609193693896,1,State_1,Volatile
