Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
BIIB,ENTA,38.421504974365234,0.9232380390167236,False,,,
ENTA,TMDX,31.209177017211914,1.4039998054504395,False,,,
BIIB,TMDX,30.4459285736084,1.9107555150985718,False,,,
ENTA,VRTX,28.107553482055664,1.8239638805389404,True,29.385727308754568,100.0,27.0
ENTA,NVAX,27.692729949951172,2.16967511177063,False,,,
BIIB,VRTX,27.620018005371094,2.110731601715088,False,,,
ENTA,LLY,27.258302688598633,2.0220165252685547,False,,,
BIIB,NVAX,27.16825294494629,2.4309909343719482,False,,,
BIIB,LLY,26.570507049560547,2.370107889175415,False,,,
TMDX,VRTX,22.919986724853516,0.741243839263916,True,28.895466839021395,100.0,24.0
NVAX,TMDX,22.69997215270996,1.2411571741104126,False,,,
LLY,TMDX,22.408443450927734,0.7973278760910034,False,,,
BNTX,ENTA,20.886024475097656,2.9736292362213135,False,,,
NVAX,VRTX,20.829235076904297,0.6590322852134705,True,23.475386855980982,100.0,21.0
BIIB,BNTX,20.28794288635254,3.192476511001587,False,,,
LLY,VRTX,19.864730834960938,0.9357010722160339,False,,,
LLY,NVAX,19.46599578857422,1.491312026977539,False,,,
DRIO,ENTA,17.479228973388672,3.6693601608276367,False,,,
BNTX,TMDX,17.245315551757812,1.7237625122070312,False,,,
BIIB,DRIO,17.2012996673584,3.764749050140381,False,,,
AZN,ENTA,17.04692840576172,3.576796054840088,False,,,
AZN,BIIB,16.412189483642578,3.7704403400421143,False,,,
CRSP,ENTA,15.919342994689941,3.774493455886841,False,,,
ENTA,SDGR,15.8474702835083,3.891766309738159,False,,,
ENTA,RGEN,15.823423385620117,3.7303617000579834,False,,,
BNTX,NVAX,15.745905876159668,1.2936594486236572,False,,,
BIIB,CRSP,15.638505935668945,3.8680419921875,False,,,
BNTX,VRTX,15.602813720703125,1.1869031190872192,False,,,
BIIB,SDGR,15.597208976745605,3.9748759269714355,False,,,
BIIB,RGEN,15.505056381225586,3.8347885608673096,False,,,
AMGN,ENTA,15.418037414550781,3.763875722885132,True,23.699714550241723,100.0,28.0
AMGN,BIIB,15.123956680297852,3.861112594604492,False,,,
BNTX,LLY,14.914331436157227,1.3597445487976074,False,,,
DRIO,TMDX,14.418237686157227,2.536464214324951,False,,,
AZN,TMDX,14.259733200073242,2.2837085723876953,True,10.808529799956002,100.0,18.0
DRIO,NVAX,14.096799850463867,1.66730535030365,True,21.63259764116765,100.0,26.0
DRIO,VRTX,13.433244705200195,1.885740041732788,False,,,
SDGR,TMDX,13.084076881408691,2.742279291152954,False,,,
CRSP,TMDX,13.06878662109375,2.606794834136963,False,,,
RGEN,TMDX,12.97386360168457,2.5420825481414795,False,,,
NVAX,SDGR,12.847101211547852,1.922869324684143,False,,,
AZN,VRTX,12.623331069946289,1.9080119132995605,False,,,
AMGN,TMDX,12.580907821655273,2.586209535598755,True,19.42474785713442,100.0,24.0
AZN,LLY,12.56762981414795,1.677830696105957,False,,,
AZN,NVAX,12.494093894958496,2.1094987392425537,False,,,
CRSP,NVAX,12.457748413085938,1.9289469718933105,True,29.7833554826638,94.23076923076924,52.0
ENTA,RARE,12.398776054382324,4.323902606964111,False,,,
DRIO,LLY,12.2269868850708,2.2431530952453613,False,,,
ENTA,XRAY,12.21856689453125,4.391020774841309,False,,,
SDGR,VRTX,12.210391998291016,2.102342128753662,False,,,
BIIB,RARE,12.144039154052734,4.399872779846191,False,,,
BIIB,XRAY,12.065689086914062,4.442981719970703,False,,,
CRSP,VRTX,12.061962127685547,1.9903284311294556,True,27.15107973555552,95.83333333333334,24.0
NVAX,RGEN,11.995683670043945,2.030251979827881,False,,,
RGEN,VRTX,11.822809219360352,1.9790585041046143,True,20.952757896166226,100.0,27.0
AMGN,VRTX,11.195119857788086,2.147658586502075,False,,,
LLY,RGEN,11.178438186645508,2.06606388092041,False,,,
CRSP,LLY,11.152796745300293,2.200669050216675,False,,,
AMGN,LLY,11.093620300292969,1.9694268703460693,True,24.34260297257268,100.0,32.0
LLY,SDGR,11.089448928833008,2.392683744430542,False,,,
AMGN,NVAX,10.958721160888672,2.3740756511688232,False,,,
ENTA,EXAS,10.317127227783203,4.647578239440918,False,,,
RARE,TMDX,10.231159210205078,3.143061399459839,False,,,
BNTX,DRIO,10.201387405395508,1.0451329946517944,False,,,
BIIB,EXAS,10.135530471801758,4.702812671661377,False,,,
TMDX,XRAY,10.051224708557129,3.2346885204315186,False,,,
NVAX,XRAY,9.939767837524414,2.527747392654419,False,,,
NVAX,RARE,9.929807662963867,2.4869492053985596,True,23.9207333617474,88.57142857142857,35.0
AZN,BNTX,9.584423065185547,0.8893239498138428,False,,,
RARE,VRTX,9.504568099975586,2.5464470386505127,False,,,
ENTA,MRNA,9.434883117675781,4.768470764160156,False,,,
VRTX,XRAY,9.419149398803711,2.6229259967803955,False,,,
BNTX,SDGR,9.2778959274292,1.1650794744491577,False,,,
BIIB,MRNA,9.255260467529297,4.821911334991455,False,,,
BNTX,CRSP,9.12944507598877,0.9481639862060547,False,,,
BNTX,RGEN,8.920814514160156,0.8906357884407043,True,34.25805976566236,100.0,52.0
DRIO,SDGR,8.820406913757324,0.283773809671402,True,31.208373549735523,97.5,40.0
LLY,RARE,8.676265716552734,2.684065103530884,False,,,
BIIB,SRPT,8.61688232421875,5.249042987823486,False,,,
EXAS,TMDX,8.529460906982422,3.4673879146575928,False,,,
LLY,XRAY,8.490283966064453,2.792969226837158,False,,,
ENTA,SRPT,8.452993392944336,5.265639781951904,False,,,
EXAS,NVAX,8.398963928222656,2.826155662536621,False,,,
AMGN,BNTX,8.37083625793457,1.1548060178756714,False,,,
CRSP,DRIO,8.342111587524414,0.530867874622345,True,19.59128726661444,100.0,27.0
ENTA,ILMN,8.058059692382812,5.004522323608398,False,,,
BIIB,ILMN,7.978494167327881,5.035637855529785,False,,,
EXAS,VRTX,7.967560768127441,2.880791425704956,False,,,
AZN,DRIO,7.954016208648682,1.3637628555297852,False,,,
DXCM,ENTA,7.886783599853516,5.061150074005127,False,,,
DRIO,RGEN,7.867310523986816,0.8416531085968018,False,,,
BIIB,DXCM,7.8408098220825195,5.085317611694336,False,,,
NVAX,SRPT,7.815429210662842,3.398961067199707,False,,,
MRNA,TMDX,7.787591934204102,3.5889217853546143,False,,,
CRSP,SDGR,7.609650135040283,0.40603965520858765,True,12.209992747452311,100.0,18.0
MRNA,NVAX,7.576718330383301,3.0009143352508545,False,,,
MRNA,VRTX,7.242910385131836,3.0202817916870117,False,,,
BNTX,RARE,7.230841636657715,1.4506618976593018,False,,,
AZN,SDGR,7.2243804931640625,1.3180460929870605,False,,,
EXAS,LLY,7.212051868438721,2.9787886142730713,False,,,
AZN,CRSP,7.189579486846924,1.02545166015625,False,,,
AZN,RGEN,7.162869453430176,0.7628424763679504,False,,,
RGEN,SDGR,7.157236099243164,0.7393602132797241,False,,,
BNTX,XRAY,7.141325950622559,1.5836540460586548,False,,,
AMGN,AZN,6.997286796569824,0.5945430994033813,False,,,
CRSP,RGEN,6.9896135330200195,0.3558105528354645,False,,,
SRPT,VRTX,6.888426303863525,3.5855183601379395,False,,,
DRIO,XRAY,6.878464698791504,0.917509138584137,True,32.83267599558505,100.0,31.0
AMGN,DRIO,6.8687639236450195,1.4648754596710205,False,,,
SRPT,TMDX,6.850532054901123,4.216556549072266,False,,,
ILMN,NVAX,6.739065170288086,3.1990747451782227,False,,,
DRIO,RARE,6.734094619750977,0.9518685340881348,True,25.360984379078378,100.0,14.0
DXCM,NVAX,6.686906814575195,3.2505130767822266,False,,,
ILMN,TMDX,6.652071475982666,3.8346686363220215,False,,,
LLY,MRNA,6.602943420410156,3.0765633583068848,False,,,
